search_id,shortlist_rank_valid_only,model_id,candidate_id,backtest_id,expected_canonical_backtest_id,backtest_start_date,backtest_end_date,summary_total_return,summary_sharpe,summary_max_drawdown
cloudrun_python_riskfeat_lgbm_reg_pvfq_n30_bw_h5_20260606_01,4,s1_lgbm_s1_cloudrun_python_riskfeat_lgbm_reg_pvfq_n30_bw_h5_20260606_01__risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01__risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01,risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01,bt_s1_risk_lgbm_r14_portfolio_n10_w15_20260609_01,bt_s1_cloudrun_python_riskfeat_lgbm_reg_pvfq_n30_bw_h5_20260606_01__risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01,2024-01-02,2026-04-30,1.3730023859880092,1.4679123311881073,-0.32031728920849956
cloudrun_python_riskfeat_lgbm_reg_pvfq_n30_bw_h5_20260606_01,4,s1_lgbm_s1_cloudrun_python_riskfeat_lgbm_reg_pvfq_n30_bw_h5_20260606_01__risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01__risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01,risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01,bt_s1_risk_lgbm_r14_portfolio_n20_w075_20260609_01,bt_s1_cloudrun_python_riskfeat_lgbm_reg_pvfq_n30_bw_h5_20260606_01__risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01,2024-01-02,2026-04-30,1.27966032900251,1.528591033712551,-0.3051405669765964
cloudrun_python_riskfeat_lgbm_reg_pvfq_n30_bw_h5_20260606_01,4,s1_lgbm_s1_cloudrun_python_riskfeat_lgbm_reg_pvfq_n30_bw_h5_20260606_01__risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01__risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01,risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01,bt_s1_risk_lgbm_r14_portfolio_n40_w05_20260609_01,bt_s1_cloudrun_python_riskfeat_lgbm_reg_pvfq_n30_bw_h5_20260606_01__risk_lgbm_r14_l63_lr002_n300_leaf800_ff07_bf10_l1_1_l2_01,2024-01-02,2026-04-30,0.891251410832006,1.3787342686384496,-0.2809690314773179
