single_weight_cap,compound_annual_return,calmar_ratio,max_drawdown,absolute_sharpe_or_contract_sharpe,avg_cash_weight,avg_realized_holdings_count,max_realized_weight,p95_max_realized_weight,annual_turnover
none,0.11808420637435257,0.2012639536006627,-0.5867131409365485,0.37808318802581337,0.025799440416179317,14.544901065449011,0.47194390871441855,0.3316737507885578,39.697174842476166
0.2,0.10298462914741013,0.167110384407501,-0.6162670830573921,0.33307813076156906,0.02643413402296636,15.075342465753424,0.21117548484719043,0.18670307140961184,39.38891296140408
0.15,0.1206275470443332,0.20179085102732744,-0.5977850156744583,0.39052479181317956,0.027680018981233095,15.533485540334855,0.17026277477855353,0.14890944679930446,40.19957128049723
0.1,0.08876802436893283,0.17146339958538742,-0.5177082956688203,0.29006660720280264,0.02638143655835665,16.11339421613394,0.1294511143964606,0.10533305495995328,40.97184238445879
