window_id,window_label,source_id,source_label,start_date,end_date,nav_row_count,return_period_count,total_return,compound_annual_return,annual_vol,compound_sharpe,max_drawdown,max_drawdown_peak_date,max_drawdown_trough_date,calmar_ratio,avg_cash_weight,max_cash_weight,annual_turnover,avg_realized_holdings_count,min_realized_holdings_count,avg_max_realized_weight,p95_max_realized_weight,max_realized_weight,crunch_strategy_return,crunch_000852_return,crunch_excess_return_vs_000852,source_note
long_2021_2026,长窗 2021-01-04..2026-06-09,topdown_live,topdown v2 live ledger,2021-01-04,2026-06-09,1314,1313,-0.9995417585889997,-0.7713484045168677,0.7121435663706613,-1.083136099154747,-0.9995417585889997,2021-01-04,2022-08-15,-0.7717020303441243,0.7630570132168449,1.0,42.97156132264362,0.8584474885844748,0.0,0.17751776748707843,0.9154630110811978,0.9930794152101101,0.0,-0.1850421485653686,0.1850421485653686,"research_backtest_* live output, final digest sha256:1e91a573..."
long_2021_2026,长窗 2021-01-04..2026-06-09,v1_official_baseline_stitched,v1 official baseline stitched,2021-01-04,2026-06-09,1314,1313,1.1051554853774124,0.15357789449949522,0.22972139774358855,0.668539787795112,-0.3742978588042647,2023-09-04,2024-02-07,0.41030930550903105,0.2991767642626172,1.0,35.04781798997892,16.105022831050228,0.0,0.05223849081849387,0.06187997144370447,0.07824465393554378,-0.34668826083241233,-0.1850421485653686,-0.16164611226704373,CA-on parent through 2026-05-27 plus dividend resume child from 2026-05-28; display long metrics use approved dividend-resume correction anchors. Long CAGR/Sharpe/Calmar/MaxDD are approved dividend-resume display anchors.
long_2021_2026,长窗 2021-01-04..2026-06-09,phase0_paper_t0,Phase 0 paper T0,2021-01-04,2026-06-09,1314,1313,0.7888239489999991,0.11808420637435257,0.31232334606290524,0.37808318802581337,-0.5867131409365485,2021-11-22,2024-02-07,0.2012639536006627,0.025799440416179317,1.0,39.697174842476166,14.544901065449011,0.0,0.13795613476413301,0.33167375078855776,0.4719439087144185,-0.406566480450965,-0.18504214856536838,-0.22152433188559661,"2026-06-13 P1 paper daily artifact, arm=T0/walk_depth=50/matched_official_6_11bps; raw paper simulation."
static_near_2024_2026,静态近窗 2024-01-02..2026-04-30,topdown_live,topdown v2 live ledger,2024-01-02,2026-04-30,562,561,0.0,0.0,0.0,,0.0,2024-01-02,2024-01-02,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1850421485653686,0.1850421485653686,"research_backtest_* live output, final digest sha256:1e91a573..."
static_near_2024_2026,静态近窗 2024-01-02..2026-04-30,v1_official_baseline_stitched,v1 official baseline stitched,2024-01-02,2026-04-30,562,561,1.05753435676097,0.3827855901930728,0.2614366255416907,1.4641620675754583,-0.34668826083241233,2024-01-02,2024-02-07,1.104120425866135,0.15636775995378127,0.6348141292920161,41.025818325418335,18.88612099644128,10.0,0.05396453571945825,0.06370455383348818,0.07824465393554378,-0.34668826083241233,-0.1850421485653686,-0.16164611226704373,CA-on parent through 2026-05-27 plus dividend resume child from 2026-05-28; display long metrics use approved dividend-resume correction anchors.
static_near_2024_2026,静态近窗 2024-01-02..2026-04-30,phase0_paper_t0,Phase 0 paper T0,2024-01-02,2026-04-30,562,561,1.0210906140005953,0.3717295079282883,0.30219835045098675,1.230084503682884,-0.406566480450965,2024-01-02,2024-02-07,0.9143142039549463,0.019884584589518327,0.0553542363121813,43.18853985641031,16.373665480427047,8.0,0.10535051735828208,0.26065923790535284,0.3499971074935035,-0.406566480450965,-0.18504214856536838,-0.22152433188559661,"2026-06-13 P1 paper daily artifact, arm=T0/walk_depth=50/matched_official_6_11bps; raw paper simulation."
