variant_id,is_identity,state_machine,timing,e_low,transaction_cost_bps,total_return,compound_annual_return,annual_vol,contract_sharpe,max_drawdown,calmar_ratio,benchmark_total_return,excess_return_vs_000852,information_ratio,max_drawdown_peak_date,max_drawdown_trough_date,crunch_strategy_return,crunch_000852_return,crunch_excess_return_vs_000852,average_exposure,exposure_lt_1_day_ratio,exposure_switch_count,cumulative_cost_drag_pp,return_period_count,nav_row_count
baseline_identity,True,identity,daily,1.0,0.0,0.807920888746015,0.12036528993503293,0.22772840385342924,0.5285475500566128,-0.45481511936569563,0.2646466329063542,0.25162190457765377,0.5562989841683612,0.36172030078673045,2023-06-16,2024-02-07,-0.3783409498908158,-0.1850421485653686,-0.1932988013254472,1.0,0.0,0,0.0,1313,1314
hysteresis_biweekly_elow0_cost0bps,False,hysteresis,biweekly,0.0,0.0,0.15189235893823239,0.027511270343693273,0.165153798077495,0.16657970124782828,-0.22238491540094518,0.12371014596062996,0.25162190457765377,-0.09972954563942138,-0.14618050658165863,2023-06-16,2024-01-18,-0.1258732153657749,-0.1850421485653686,0.05916893319959371,0.5616438356164384,0.4383561643835616,16,0.0,1313,1314
hysteresis_biweekly_elow0.3_cost0bps,False,hysteresis,biweekly,0.3,0.0,0.3366845466115469,0.05727591605181348,0.17170222090648513,0.3335770250928082,-0.2989509055857774,0.19158970580665932,0.25162190457765377,0.08506264203389313,-0.008263980804985678,2023-06-16,2024-02-07,-0.20941594686838827,-0.1850421485653686,-0.024373798303019667,0.6931506849315068,0.4383561643835616,16,0.0,1313,1314
hysteresis_biweekly_elow0.5_cost0bps,False,hysteresis,biweekly,0.5,0.0,0.46659637193256254,0.07626564260828483,0.18279464867055487,0.417220324352799,-0.34664575419157506,0.22001031798628737,0.25162190457765377,0.21497446735490877,0.09833107421096886,2023-06-16,2024-02-07,-0.2612482545315601,-0.1850421485653686,-0.07620610596619148,0.7808219178082192,0.4383561643835616,16,0.0,1313,1314
hysteresis_biweekly_elow0.7_cost0bps,False,hysteresis,biweekly,0.7,0.0,0.600839810679437,0.09451029600260541,0.19828119483476705,0.476647803546692,-0.3917657285413235,0.24124186756840432,0.25162190457765377,0.34921790610178327,0.20890979897707812,2023-06-16,2024-02-07,-0.31015767835748154,-0.1850421485653686,-0.12511552979211293,0.8684931506849314,0.4383561643835616,16,0.0,1313,1314
hysteresis_daily_elow0_cost0bps,False,hysteresis,daily,0.0,0.0,0.3253771130737859,0.05555345785867316,0.17743286227665536,0.3130956528901257,-0.30126884618772287,0.1843982826689534,0.25162190457765377,0.07375520849613215,-0.010208048541957527,2021-08-25,2024-06-06,0.0,-0.1850421485653686,0.1850421485653686,0.669710806697108,0.3302891933028919,33,0.0,1313,1314
hysteresis_daily_elow0.3_cost0bps,False,hysteresis,daily,0.3,0.0,0.4711629826193955,0.07690802404469954,0.18250558907378117,0.4214009249525399,-0.3114444843320673,0.2469397530337989,0.25162190457765377,0.21954107804174172,0.09514067004027002,2021-08-25,2024-08-27,-0.13102769159834293,-0.1850421485653686,0.05401445696702567,0.7687975646879756,0.3302891933028919,33,0.0,1313,1314
hysteresis_daily_elow0.5_cost0bps,False,hysteresis,daily,0.5,0.0,0.5687728654970132,0.09026792311587228,0.19122549448158774,0.4720496258126491,-0.32100951877974404,0.28120014465305715,0.25162190457765377,0.31715096091935946,0.173195593404205,2021-08-25,2024-08-27,-0.2094992434935945,-0.1850421485653686,-0.024457094928225898,0.834855403348554,0.3302891933028919,33,0.0,1313,1314
hysteresis_daily_elow0.7_cost0bps,False,hysteresis,daily,0.7,0.0,0.6657254461691018,0.10288861646352565,0.20361584458372947,0.5053075151094959,-0.36857214464026755,0.27915461859969537,0.25162190457765377,0.414103541591448,0.25255655651606995,2023-06-16,2024-02-07,-0.2814808012070372,-0.1850421485653686,-0.09643865264166862,0.9009132420091326,0.3302891933028919,33,0.0,1313,1314
two_state_biweekly_elow0_cost0bps,False,two_state,biweekly,0.0,0.0,0.8158013416556888,0.12130091898447448,0.2019664043864822,0.6005994875878142,-0.297527701723727,0.4076962188116182,0.25162190457765377,0.5641794370780351,0.31117490121874786,2023-06-16,2024-09-18,-0.1258732153657749,-0.1850421485653686,0.05916893319959371,0.8873668188736682,0.1126331811263318,24,0.0,1313,1314
two_state_biweekly_elow0.3_cost0bps,False,two_state,biweekly,0.3,0.0,0.8245196943808961,0.12233221469111011,0.20441537742033403,0.5984491785055953,-0.3208238529737505,0.38130648191273736,0.25162190457765377,0.5728977898032424,0.33546335731457727,2023-06-16,2024-02-07,-0.20941594686838827,-0.1850421485653686,-0.024373798303019667,0.9211567732115676,0.1126331811263318,24,0.0,1313,1314
two_state_biweekly_elow0.5_cost0bps,False,two_state,biweekly,0.5,0.0,0.8250660849427662,0.12239671463467916,0.20870220769210204,0.5864658356429597,-0.3614513251128536,0.33862571840472305,0.25162190457765377,0.5734441803651125,0.34817442429346035,2023-06-16,2024-02-07,-0.2612482545315601,-0.1850421485653686,-0.07620610596619148,0.943683409436834,0.1126331811263318,24,0.0,1313,1314
two_state_biweekly_elow0.7_cost0bps,False,two_state,biweekly,0.7,0.0,0.821374822582936,0.12196066723091081,0.21497340648142552,0.5673290907331305,-0.40017480581768683,0.3047684798189772,0.25162190457765377,0.5697529180052823,0.3569858303870852,2023-06-16,2024-02-07,-0.31015767835748154,-0.1850421485653686,-0.12511552979211293,0.9662100456621003,0.1126331811263318,24,0.0,1313,1314
two_state_daily_elow0_cost0bps,False,two_state,daily,0.0,0.0,0.423881303242851,0.07017732764946016,0.19912138305215302,0.3524349146926105,-0.32168900046805404,0.21815271130611524,0.25162190457765377,0.17225939866519724,0.07580308156334566,2021-11-26,2024-08-20,-0.09955534066630034,-0.1850421485653686,0.08548680789906826,0.8706240487062404,0.1293759512937595,89,0.0,1313,1314
