sec_code,index_name,rolling_window,start_date,end_date,return_period_count,compound_annualized_return,max_drawdown,calmar_ratio,sharpe_ratio
000001.SH,上证指数,756_return_periods,2021-01-04,2024-02-20,756,-0.058577481167886636,-0.2727014194512889,-0.2148044600785439,-0.389636640551488
000001.SH,上证指数,756_return_periods,2021-01-05,2024-02-21,756,-0.057856762665734474,-0.2727014194512889,-0.21216157503745264,-0.3847283457064435
000001.SH,上证指数,756_return_periods,2021-01-06,2024-02-22,756,-0.05586883356850458,-0.2727014194512889,-0.2048718106452105,-0.37117127632415897
000001.SH,上证指数,756_return_periods,2021-01-07,2024-02-23,756,-0.056370216229079895,-0.2727014194512889,-0.20671038802256395,-0.3745599298594799
000001.SH,上证指数,756_return_periods,2021-01-08,2024-02-26,756,-0.058760321773905555,-0.272701419451289,-0.21547493919224558,-0.3902108885466275
000001.SH,上证指数,756_return_periods,2021-01-11,2024-02-27,756,-0.05129205477147192,-0.2727014194512889,-0.18808869742841192,-0.3404697937622498
000001.SH,上证指数,756_return_periods,2021-01-12,2024-02-28,756,-0.06411376574742522,-0.272701419451289,-0.23510609470398255,-0.4259666138289255
000001.SH,上证指数,756_return_periods,2021-01-13,2024-02-29,756,-0.0572626439111692,-0.272701419451289,-0.20998293307892985,-0.3793952980542117
000001.SH,上证指数,756_return_periods,2021-01-14,2024-03-01,756,-0.053148490478958865,-0.2727014194512889,-0.19489627368240553,-0.3522986408717178
000001.SH,上证指数,756_return_periods,2021-01-15,2024-03-04,756,-0.051911229330957376,-0.2727014194512889,-0.19035921938143774,-0.3440525132157077
000001.SH,上证指数,756_return_periods,2021-01-18,2024-03-05,756,-0.05366204041294664,-0.272701419451289,-0.19677946862514212,-0.3558237041886387
000001.SH,上证指数,756_return_periods,2021-01-19,2024-03-06,756,-0.05184652319358851,-0.2727014194512889,-0.19012194105153737,-0.34393744392770315
000001.SH,上证指数,756_return_periods,2021-01-20,2024-03-07,756,-0.05462522236001288,-0.2727014194512889,-0.20031147058173004,-0.3623919486590405
000001.SH,上证指数,756_return_periods,2021-01-21,2024-03-08,756,-0.056031550301832045,-0.272701419451289,-0.2054684952303324,-0.37193298019058985
000001.SH,上证指数,756_return_periods,2021-01-22,2024-03-11,756,-0.05245187996267198,-0.272701419451289,-0.1923417929698057,-0.34806342936208734
000001.SH,上证指数,756_return_periods,2021-01-25,2024-03-12,756,-0.05526690306490745,-0.2727014194512889,-0.20266452289141626,-0.3667704318532612
000001.SH,上证指数,756_return_periods,2021-01-26,2024-03-13,756,-0.05171088124401102,-0.2727014194512889,-0.18962454008512356,-0.343700210973749
000001.SH,上证指数,756_return_periods,2021-01-27,2024-03-14,756,-0.05263884586756129,-0.2727014194512889,-0.1930273996133851,-0.3498649015318654
000001.SH,上证指数,756_return_periods,2021-01-28,2024-03-15,756,-0.04482441835503037,-0.2727014194512889,-0.1643717823149692,-0.2986475727358904
000001.SH,上证指数,756_return_periods,2021-01-29,2024-03-18,756,-0.0396543828211221,-0.2727014194512889,-0.14541318817082777,-0.26407909581551775
000001.SH,上证指数,756_return_periods,2021-02-01,2024-03-19,756,-0.04398860233728641,-0.2727014194512889,-0.16130683304031662,-0.29292645957364705
000001.SH,上证指数,756_return_periods,2021-02-02,2024-03-20,756,-0.04480317992016791,-0.2727014194512889,-0.16429390067098953,-0.298429904532098
000001.SH,上证指数,756_return_periods,2021-02-03,2024-03-21,756,-0.04358947136594138,-0.2727014194512889,-0.15984321406778565,-0.29038798838865376
000001.SH,上证指数,756_return_periods,2021-02-04,2024-03-22,756,-0.04521184343140938,-0.2727014194512889,-0.16579247560346974,-0.3010430231804366
000001.SH,上证指数,756_return_periods,2021-02-05,2024-03-25,756,-0.046984428410955625,-0.2727014194512889,-0.17229257004050244,-0.3127376316803673
000001.SH,上证指数,756_return_periods,2021-02-08,2024-03-26,756,-0.049702165637896534,-0.2727014194512889,-0.1822585512679172,-0.33108795643893674
000001.SH,上证指数,756_return_periods,2021-02-09,2024-03-27,756,-0.0599855016307731,-0.272701419451289,-0.21996769122607351,-0.4003501881809156
000001.SH,上证指数,756_return_periods,2021-02-10,2024-03-28,756,-0.06260752087391941,-0.2727014194512889,-0.22958267323981654,-0.41839216809071034
000001.SH,上证指数,756_return_periods,2021-02-18,2024-03-29,756,-0.0611845292449541,-0.2727014194512889,-0.22436454261244923,-0.40865786126216175
000001.SH,上证指数,756_return_periods,2021-02-19,2024-04-01,756,-0.059245273682478006,-0.2727014194512889,-0.21725326476733156,-0.39537512545223824
000001.SH,上证指数,756_return_periods,2021-02-22,2024-04-02,756,-0.05489057519622298,-0.2727014194512889,-0.20128452322202808,-0.3668745782323947
000001.SH,上证指数,756_return_periods,2021-02-23,2024-04-03,756,-0.05494430559919816,-0.2727014194512889,-0.20148155337714532,-0.36723222852313775
000001.SH,上证指数,756_return_periods,2021-02-24,2024-04-08,756,-0.05090247705755768,-0.272701419451289,-0.1866601103873245,-0.3410789036134274
000001.SH,上证指数,756_return_periods,2021-02-25,2024-04-09,756,-0.052602467449471946,-0.2727014194512889,-0.19289399943467483,-0.3525654709138889
000001.SH,上证指数,756_return_periods,2021-02-26,2024-04-10,756,-0.04803192788249411,-0.2727014194512889,-0.17613376556359941,-0.32289181256221394
000001.SH,上证指数,756_return_periods,2021-03-01,2024-04-11,756,-0.05110732708351573,-0.2727014194512889,-0.18741129835829382,-0.3439379566469853
000001.SH,上证指数,756_return_periods,2021-03-02,2024-04-12,756,-0.048812463850342214,-0.2727014194512889,-0.17899600210574373,-0.3287907785248954
000001.SH,上证指数,756_return_periods,2021-03-03,2024-04-15,756,-0.050968608263277204,-0.2727014194512889,-0.1869026144632204,-0.3438971562637
000001.SH,上证指数,756_return_periods,2021-03-04,2024-04-16,756,-0.049656239585034956,-0.2727014194512889,-0.1820901397761326,-0.33542262550086566
000001.SH,上证指数,756_return_periods,2021-03-05,2024-04-17,756,-0.04279186371156196,-0.2727014194512889,-0.15691837540730377,-0.28803962708957076
000001.SH,上证指数,756_return_periods,2021-03-08,2024-04-18,756,-0.03503850445580059,-0.2727014194512889,-0.12848669627867235,-0.23678874708878977
