window_id,source_backtest_path,variant_id,is_identity,state_machine,timing,e_low,transaction_cost_bps,total_return,compound_annual_return,annual_vol,contract_sharpe,max_drawdown,calmar_ratio,benchmark_total_return,excess_return_vs_000852,information_ratio,max_drawdown_peak_date,max_drawdown_trough_date,crunch_strategy_return,crunch_000852_return,crunch_excess_return_vs_000852,average_exposure,exposure_lt_1_day_ratio,exposure_switch_count,cumulative_cost_drag_pp,return_period_count,nav_row_count
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,baseline_identity,True,identity,daily,1.0,0.0,1.1051554853774173,0.15357789449949566,0.22972139774358852,0.668539787795114,-0.3742978588042636,0.4103093055090335,0.25162190457765377,0.8535335807997635,0.5142602442112923,2023-09-04,2024-02-07,-0.358698342317463,-0.1850421485653686,-0.1736561937520944,1.0,0.0,0,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0_cost0bps,False,hysteresis,biweekly,0.0,0.0,0.21794940640824367,0.03856708581258683,0.1666332774202795,0.23144888229806349,-0.23146109467816933,0.1666244854938222,0.25162190457765377,-0.03367249816941009,-0.09383655181323568,2021-01-04,2022-08-03,-0.10681069251697661,-0.1850421485653686,0.07823145604839199,0.5616438356164384,0.4383561643835616,16,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.3_cost0bps,False,hysteresis,biweekly,0.3,0.0,0.45518214637147536,0.0746529148241688,0.17322521427791154,0.4309587096506655,-0.23361359676962767,0.319557234067099,0.25162190457765377,0.2035602417938216,0.07660869917823503,2021-01-04,2022-04-26,-0.18969694713198448,-0.1850421485653686,-0.004654798566615881,0.6931506849315068,0.4383561643835616,16,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.5_cost0bps,False,hysteresis,biweekly,0.5,0.0,0.6277815904900534,0.09802186055994389,0.18440684695450496,0.5315521748719388,-0.2575592058339996,0.3805799145968803,0.25162190457765377,0.3761596859123997,0.20569468926315115,2021-08-25,2022-04-26,-0.2413429895564837,-0.1850421485653686,-0.0563008409911151,0.7808219178082192,0.4383561643835616,16,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_biweekly_elow0.7_cost0bps,False,hysteresis,biweekly,0.7,0.0,0.8113014648481596,0.12076706121862868,0.20002270730246116,0.6037667565213618,-0.3024266958784375,0.399326722357777,0.25162190457765377,0.5596795602705058,0.337169329206619,2023-06-20,2024-02-07,-0.29024240141544333,-0.1850421485653686,-0.10520025285007473,0.8684931506849314,0.4383561643835616,16,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0_cost0bps,False,hysteresis,daily,0.0,0.0,0.6557024089910173,0.10161181964683519,0.1730226133804642,0.587274794095256,-0.17151964709372047,0.5924208763752483,0.25162190457765377,0.4040805044133635,0.18302969256369847,2021-01-04,2022-03-07,0.0,-0.1850421485653686,0.1850421485653686,0.669710806697108,0.3302891933028919,33,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.3_cost0bps,False,hysteresis,daily,0.3,0.0,0.8019358031971493,0.11965248932178052,0.17883301904653054,0.6690738095219885,-0.21512990620367223,0.5561871495844034,0.25162190457765377,0.5503138986194955,0.28896038876543617,2021-08-25,2022-04-26,-0.12274431610513814,-0.1850421485653686,0.06229783246023046,0.7687975646879756,0.3302891933028919,33,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.5_cost0bps,False,hysteresis,daily,0.5,0.0,0.8951657688018384,0.130545284460579,0.1887665736765389,0.6915699210829295,-0.24684576128514168,0.5288536606054206,0.25162190457765377,0.6435438642241846,0.36245456298517065,2021-08-25,2022-04-26,-0.19695477648740767,-0.1850421485653686,-0.011912627922039065,0.834855403348554,0.3302891933028919,33,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,hysteresis_daily_elow0.7_cost0bps,False,hysteresis,daily,0.7,0.0,0.9836772208417213,0.14049315637614734,0.2027690485192494,0.6928727900146454,-0.27801058798123135,0.5053518191387448,0.25162190457765377,0.7320553162640675,0.43158244059117085,2021-08-25,2022-04-26,-0.2655416287577722,-0.1850421485653686,-0.0804994801924036,0.9009132420091326,0.3302891933028919,33,0.0,1313,1314
long_2021_2026,bt_s1_annual_roll_continuous_true5y_2021_2026_n20_w075_v20260611_01_ca01 + bt_s1_dividend_backfill_resume_20260528_20260609_v20260612_01,two_state_biweekly_elow0_cost0bps,False,two_state,biweekly,0.0,0.0,1.0848251648861083,0.15143132985090957,0.20251028422181655,0.7477710597899392,-0.2345823951882512,0.645535781700015,0.25162190457765377,0.8332032603084545,0.4384054458534573,2021-01-04,2022-05-24,-0.10681069251697661,-0.1850421485653686,0.07823145604839199,0.8873668188736682,0.1126331811263318,24,0.0,1313,1314
