predict_date,section,rank_ic,n_obs,horizon,bucket
2021-01-04,raw,0.223217366725428,1546,1,
2021-01-05,raw,0.12607829587452132,1562,1,
2021-01-06,raw,0.12083123912949346,1579,1,
2021-01-07,raw,0.04536981679734189,1576,1,
2021-01-08,raw,0.10061767880354315,1571,1,
2021-01-11,raw,0.07116990494138192,1556,1,
2021-01-12,raw,-0.09847465180803451,1561,1,
2021-01-13,raw,-0.06754681968878526,1569,1,
2021-01-14,raw,0.010141440887978392,1572,1,
2021-01-15,raw,-0.02357458878909611,1564,1,
2021-01-18,raw,0.008159269990471577,1571,1,
2021-01-19,raw,0.09204212984189693,1570,1,
2021-01-20,raw,-0.030704324686801787,1564,1,
2021-01-21,raw,0.12812789377433748,1559,1,
2021-01-22,raw,0.048850505358466106,1552,1,
2021-01-25,raw,-0.04725891295469844,1555,1,
2021-01-26,raw,0.025496822699805032,1542,1,
2021-01-27,raw,-0.15087329738704386,1531,1,
2021-01-28,raw,-0.0991325366455596,1525,1,
2021-01-29,raw,0.03908128474043677,1520,1,
2021-02-01,raw,0.21172987933477933,1509,1,
2021-02-02,raw,-0.17720524590664258,1495,1,
2021-02-03,raw,-0.02669987871501099,1489,1,
2021-02-04,raw,-0.1549283139455566,1468,1,
2021-02-05,raw,-0.008457612914679455,1446,1,
2021-02-08,raw,0.3029408619817089,1431,1,
2021-02-09,raw,0.07061520134500136,1424,1,
2021-02-10,raw,-0.18179165406889872,1400,1,
2021-02-18,raw,-0.1978531095473706,1414,1,
2021-02-19,raw,-0.25261295002467715,1425,1,
2021-02-22,raw,0.1804946925996651,1447,1,
2021-02-23,raw,-0.10075604993769441,1461,1,
2021-02-24,raw,0.1277827337610221,1461,1,
2021-02-25,raw,0.03386976536654294,1466,1,
2021-02-26,raw,0.03666146649195283,1455,1,
2021-03-01,raw,0.06358508111482994,1452,1,
2021-03-02,raw,-0.15247196630792684,1453,1,
2021-03-03,raw,-0.2042396250575818,1459,1,
2021-03-04,raw,0.2022761184913182,1470,1,
2021-03-05,raw,-0.16509966412558338,1475,1,
2021-03-08,raw,-0.0330957639140518,1485,1,
2021-03-09,raw,0.00013306377359570832,1501,1,
2021-03-10,raw,0.011138573334853203,1497,1,
2021-03-11,raw,-0.1791248809536631,1506,1,
2021-03-12,raw,-0.2776427500417518,1514,1,
2021-03-15,raw,-0.05662865043255628,1533,1,
2021-03-16,raw,0.15588659823484413,1541,1,
2021-03-17,raw,0.08641381685982369,1559,1,
2021-03-18,raw,-0.06319659546473648,1564,1,
2021-03-19,raw,-0.06315386164427242,1552,1,
2021-03-22,raw,0.24262699743751184,1546,1,
2021-03-23,raw,-0.19467154614211316,1537,1,
2021-03-24,raw,0.28080790944841055,1539,1,
2021-03-25,raw,0.18080626026438007,1549,1,
2021-03-26,raw,-0.08826732640602515,1560,1,
2021-03-29,raw,0.2360955651803839,1567,1,
2021-03-30,raw,-0.11332031157782732,1565,1,
2021-03-31,raw,0.054626593401088844,1569,1,
2021-04-01,raw,0.05722325697090173,1558,1,
2021-04-02,raw,-0.1435933809384037,1551,1,
2021-04-06,raw,-0.3288142321215759,1539,1,
2021-04-07,raw,0.2557144243129063,1547,1,
2021-04-08,raw,-0.11239468262019507,1556,1,
2021-04-09,raw,-0.10904176329668483,1553,1,
2021-04-12,raw,0.16268389571236774,1565,1,
2021-04-13,raw,0.13972583500750899,1555,1,
2021-04-14,raw,-0.03149422882366035,1547,1,
2021-04-15,raw,-0.2531156357060869,1570,1,
2021-04-16,raw,0.10750810257254866,1585,1,
2021-04-19,raw,0.1445088237049499,1592,1,
2021-04-20,raw,0.1317335888899946,1601,1,
2021-04-21,raw,0.0498655944087003,1600,1,
2021-04-22,raw,0.2516146772206663,1604,1,
2021-04-23,raw,-0.03337287668247235,1592,1,
2021-04-26,raw,0.2012524520881412,1593,1,
2021-04-27,raw,0.12810040249954804,1593,1,
2021-04-28,raw,0.08762034225663563,1593,1,
2021-04-29,raw,0.1695555249622013,1582,1,
2021-04-30,raw,-0.007455071301772812,1586,1,
2021-05-06,raw,-0.11033402223410976,1594,1,
2021-05-07,raw,0.2379198703339481,1596,1,
2021-05-10,raw,-0.017223134869911394,1597,1,
2021-05-11,raw,0.1588567131374389,1594,1,
2021-05-12,raw,-0.08496652836897796,1602,1,
2021-05-13,raw,-0.14826979440476495,1602,1,
2021-05-14,raw,0.13050333574368245,1595,1,
2021-05-17,raw,0.08085761550717435,1604,1,
2021-05-18,raw,0.08227210407435924,1598,1,
2021-05-19,raw,0.12258131354650614,1591,1,
2021-05-20,raw,0.10162202399959441,1576,1,
2021-05-21,raw,0.04342332356332407,1558,1,
2021-05-24,raw,0.1560587818601476,1555,1,
2021-05-25,raw,-0.14341304318597653,1572,1,
2021-05-26,raw,0.05723468059315685,1577,1,
2021-05-27,raw,0.08888912801808728,1575,1,
2021-05-28,raw,-0.0375187747343048,1572,1,
2021-05-31,raw,-0.052947779296400495,1573,1,
2021-06-01,raw,-0.024748537820080088,1584,1,
2021-06-02,raw,-0.03000938659185699,1595,1,
2021-06-03,raw,0.16447932741464874,1600,1,
2021-06-04,raw,-0.05042619119989624,1613,1,
2021-06-07,raw,-0.011965415585458475,1618,1,
2021-06-08,raw,0.01139100544124888,1610,1,
2021-06-09,raw,0.08416959325635179,1609,1,
2021-06-10,raw,-0.021311348138411682,1624,1,
2021-06-11,raw,0.08650017108782135,1636,1,
2021-06-15,raw,-0.13355457628221684,1638,1,
2021-06-16,raw,0.30363583711780007,1646,1,
2021-06-17,raw,0.09122249374842618,1647,1,
2021-06-18,raw,0.0524518284877634,1634,1,
2021-06-21,raw,-0.029506083135563195,1636,1,
2021-06-22,raw,0.07850229136147291,1649,1,
2021-06-23,raw,0.02786648654722295,1646,1,
2021-06-24,raw,0.16100085297294844,1651,1,
2021-06-25,raw,0.03804353106298053,1646,1,
2021-06-28,raw,0.1454186658098414,1644,1,
2021-06-29,raw,0.07538200743740624,1635,1,
2021-06-30,raw,0.09550335154664624,1630,1,
2021-07-01,raw,-0.011428038411172573,1623,1,
2021-07-02,raw,-0.03334738566801075,1607,1,
2021-07-05,raw,-0.11637148279678128,1611,1,
2021-07-06,raw,0.1824882126670901,1613,1,
2021-07-07,raw,0.03841804475764003,1599,1,
2021-07-08,raw,-0.01889063793074955,1599,1,
2021-07-09,raw,0.0707014379638147,1589,1,
