variant_id,family,description,cost_bps,cumulative_cost_drag_pp,long_total_return,long_cagr,long_daily_sharpe,long_contract_sharpe,long_annual_vol,long_max_drawdown,long_calmar,long_avg_exposure,long_frac_days_exposure_lt1,long_exposure_switch_count,long_return_period_count,near_total_return,near_cagr,near_daily_sharpe,near_contract_sharpe,near_annual_vol,near_max_drawdown,near_calmar,near_avg_exposure,near_frac_days_exposure_lt1,near_exposure_switch_count,near_return_period_count
baseline_cost0bps,baseline,exposure==1 全程满仓（恒等基线）,0.0,0.0,1.104471485377418,0.15350594766603454,0.7369151400001444,0.6682084282261901,0.22972764362390297,-0.3742978588042636,0.4101170873817619,1.0,0.0,0,1313,1.0197099097144902,0.3705382207457959,1.3370331802474726,1.4167554014786023,0.26154000920630494,-0.34668826083241244,1.0687936760711734,1.0,0.0,0,562
voltarget_w20_t0.15_cost0bps,vol_target,vol-targeting：20日lagged年化vol，目标0.15，exposure<=1,0.0,0.0,0.32499184733172215,0.05549456156219823,0.4159821524499417,0.3445136890984619,0.16108086069792688,-0.2702336210744284,0.20535772470337355,0.7541006916450598,0.7631378522467631,1027,1313,0.39600381528721473,0.16136022386586402,0.9793223722281406,0.965841955819103,0.16706690250271744,-0.2178977941911746,0.7405316995742195,0.6952420580018549,0.9128113879003559,525,562
voltarget_w20_t0.25_cost0bps,vol_target,vol-targeting：20日lagged年化vol，目标0.25，exposure<=1,0.0,0.0,0.6395768375184563,0.09954447479957551,0.5538775917382798,0.4694987541383069,0.2120228731645394,-0.34750908115446755,0.2864514345031693,0.955308674494065,0.24828636709824828,349,1313,0.6461050440880713,0.250429627864196,1.0786862046123893,1.0777714774455855,0.23235874497044265,-0.31849679594769453,0.7862861763460975,0.9275022441014841,0.32562277580071175,192,562
voltarget_w20_t0.2_cost0bps,vol_target,vol-targeting：20日lagged年化vol，目标0.2，exposure<=1,0.0,0.0,0.541320389696694,0.0865799913861447,0.5268655557319752,0.448500124963944,0.19304340526795855,-0.3036095169210439,0.2851688980772646,0.8886671293518518,0.5102817974105103,702,1313,0.5745225856053662,0.2257482552937773,1.0863912919734418,1.0893434506619133,0.207233315770712,-0.27289842345980786,0.8272244758021667,0.851320267054028,0.594306049822064,348,562
voltarget_w20_t0.3_cost0bps,vol_target,vol-targeting：20日lagged年化vol，目标0.3，exposure<=1,0.0,0.0,0.7670037782726693,0.115453624579265,0.6076028622218794,0.5256243240097422,0.21965046004439687,-0.3627846059704011,0.31824289862146093,0.9805443720590683,0.1051028179741051,147,1313,0.7301508713333007,0.27866422902365184,1.1348616725328369,1.148003144695479,0.24273821052778624,-0.3346669766827485,0.8326612675854628,0.9623201631055784,0.16548042704626334,99,562
voltarget_w60_t0.15_cost0bps,vol_target,vol-targeting：60日lagged年化vol，目标0.15，exposure<=1,0.0,0.0,0.4452925086708155,0.07324731127072437,0.5085911328236304,0.44080409757178024,0.1661674918046714,-0.28708362145091515,0.25514277303781335,0.7409724650981375,0.9047981721249048,1195,1313,0.45868061726325005,0.18445761861452703,1.0826225490504033,1.0868366365012174,0.16971972826416623,-0.25908635302459115,0.7119542054653077,0.6554482228696146,0.99644128113879,560,562
voltarget_w60_t0.25_cost0bps,vol_target,vol-targeting：60日lagged年化vol，目标0.25，exposure<=1,0.0,0.0,0.7649471594457089,0.11520433278186148,0.610524090763525,0.529889049785664,0.21741217869752308,-0.3669215040390381,0.3139754184851605,0.9613067616603397,0.2261995430312262,301,1313,0.7377389519026765,0.2811757930042813,1.1580553653083008,1.1778852414721177,0.23871238309503615,-0.33898641862490797,0.8294603487209476,0.9240910123048574,0.3238434163701068,184,562
voltarget_w60_t0.2_cost0bps,vol_target,vol-targeting：60日lagged年化vol，目标0.2，exposure<=1,0.0,0.0,0.6418897413805087,0.09984200224287565,0.5730046971197732,0.49523289276045,0.20160616086373406,-0.3439907596045736,0.2902461750939085,0.8988116243354651,0.504950495049505,678,1313,0.621158855144835,0.24189674323392762,1.10768305047099,1.1152159333132032,0.2169057453432133,-0.3150438370984031,0.7678193151208091,0.8381921553455226,0.7224199288256228,414,562
voltarget_w60_t0.3_cost0bps,vol_target,vol-targeting：60日lagged年化vol，目标0.3，exposure<=1,0.0,0.0,0.9237671627690289,0.1338001382399645,0.6714245942384196,0.5952913781347575,0.22476411242374125,-0.3742978588042638,0.3574696864881994,0.9849010487550186,0.08987052551408987,122,1313,0.847012212599116,0.31669341691856423,1.2210109192580207,1.2598456829793412,0.2513747685110394,-0.34668826083241244,0.9134818010802287,0.9648341129952469,0.19395017793594305,112,562
ddderisk_lb20_thr-0.05_elow0.5_cost0bps,dd_derisk,trailing 20日累计收益<-0.05降仓到0.5,0.0,0.0,1.0681588996568094,0.1496589787969007,0.7760703765195393,0.7212245818398311,0.20750676358690287,-0.29117153255859085,0.5139890479052435,0.9364051789794364,0.12718964204112718,51,1313,1.0828147707187856,0.3895766167834014,1.5412409027251868,1.6872813336000774,0.23089013611747783,-0.21662815210059072,1.7983656002498811,0.9208185053380783,0.1583629893238434,22,562
ddderisk_lb20_thr-0.05_elow0_cost0bps,dd_derisk,trailing 20日累计收益<-0.05降仓到0,0.0,0.0,0.9980031905112228,0.14206938036746197,0.765605571177973,0.711886655180958,0.19956741615187135,-0.26878962635659354,0.5285523191247851,0.8728103579588729,0.12718964204112718,51,1313,1.1235793584997995,0.40170637234852924,1.6478352426317902,1.8284436416038283,0.2196985256795613,-0.21395925932723447,1.8774900119379727,0.8416370106761566,0.1583629893238434,22,562
ddderisk_lb20_thr-0.1_elow0.5_cost0bps,dd_derisk,trailing 20日累计收益<-0.1降仓到0.5,0.0,0.0,1.1288520754706037,0.15605884493722177,0.7811117398169114,0.7244340837617438,0.2154217318528974,-0.31863344614981526,0.489775467148687,0.9771515613099772,0.0456968773800457,21,1313,1.147495697137264,0.40876311398112564,1.5641303351292049,1.7230603434578036,0.23723087559477335,-0.2316316932558381,1.7647115048701267,0.9590747330960854,0.08185053380782918,12,562
