metric,large(top300),mid(301-800),small(801-1800)
IC_5d:ret_5d,-0.009194158104993088,-0.020182377990232054,-0.02954020068559004
IC_5d:vol_20d,-0.043702241462918276,-0.05404230996146236,-0.07542151700933261
IC_5d:turnover_rate_zscore_60d,-0.006941007165058691,-0.02269904291193961,-0.03921860584594562
IC_5d:ep_ttm,0.038353363895098434,0.03404314529366454,0.03474136363807829
IC_5d:bp,0.044766854428931725,0.044092845485395715,0.04307512355499692
IC_5d:dividend_yield_ttm,0.04066200477465026,0.031136131753485403,0.03039580328580139
IC_5d:ret_10d,-0.013400803653698843,-0.02839183850465617,-0.03677639027184884
IC_5d:mom_60_20,-0.01668628735591087,-0.017888939854298628,-0.020601244948828448
composite_IC_5d,0.0485849115452761,0.055745171553891505,0.06456755605627287
composite_IC_20d,0.07799307439977593,0.0874884870423111,0.09035294658604093
LS_decile_Sharpe_5d,0.280396731605345,0.31003110852773863,0.6758810869395793
long_only_excess_Sharpe_5d,0.42298344197572885,0.01622684342424358,-0.04397955645143124
LS_decile_Sharpe_20d,0.30550075689876793,0.6162049000850846,0.6886566588157879
long_only_excess_Sharpe_20d,0.5901331824267366,0.2019664259744694,0.09301387001372519
